vessel_id,vessel_name,vessel_flag,vessel_type,ssvid,event_start,event_end,duration_hrs,avg_speed_knots,total_distance_km,bbox_area_km2,net_displacement_ratio,lat,lon,dist_shore_km,dist_port_km,in_mpa,in_mpa_no_take,in_mpa_partial,on_high_seas,eez,rfmo,auth_status,potential_risk_flag,mpa_tier_weight,auth_multiplier,high_seas_mult,risk_flag_mult,risk_score
a17f759c5-5d5e-6bcc-ab2a-e92e1ae4cdbb,SUGANYU02098,CHN,fishing,412302098,2022-12-31 08:56:39+00:00,2023-01-01 07:06:19+00:00,22.16,1.684,62.93,223.19,0.4135,31.2578,123.6245,86.0,60.23,0,0,0,0,['8486'],"['IWC', 'PICES', 'WCPFC', 'ACAP']",not_matching_relevant_public_authorization,0,1.0,2.0,1.0,1.0,2.0
d49fdebb2-2ed4-9a41-934e-43c3220f6d2c,PKFB1110,MYS,fishing,533341110,2022-12-31 08:57:17+00:00,2023-01-03 03:24:01+00:00,66.45,3.021,352.59,918.28,0.1269,4.0131,99.9126,66.0,64.9,0,0,0,0,['8483'],"['IOTC', 'ACAP', 'IWC', 'APFIC', 'SEAFDEC']",not_matching_relevant_public_authorization,0,1.0,2.0,1.0,1.0,2.0
754a35865-50df-e942-98b7-faefa275de97,LULANYU77595,CHN,fishing,412332614,2022-12-31 08:57:37+00:00,2023-01-01 00:38:33+00:00,15.68,3.049,68.5,45.0,0.1385,35.0788,119.6039,22.0,1.11,0,0,0,0,['8486'],"['IWC', 'ACAP', 'PICES', 'WCPFC']",not_matching_relevant_public_authorization,0,1.0,2.0,1.0,1.0,2.0
0025a72a3-399d-f1cd-20db-8f772600f8fa,YUEMAOBINYU43299,CHN,fishing,412470624,2022-12-31 08:57:55+00:00,2023-01-01 00:13:04+00:00,15.25,1.282,24.19,139.97,0.6998,21.7887,114.2342,25.0,32.52,0,0,0,0,['8486'],"['IWC', 'APFIC', 'WCPFC', 'ACAP']",not_matching_relevant_public_authorization,0,1.0,2.0,1.0,1.0,2.0
026995043-38ee-18fa-8433-9b1be40ccc05,ANNE RISLEY,CAN,fishing,316014440,2022-12-25 11:51:26+00:00,2023-01-01 00:49:03+00:00,156.96,2.702,478.98,18.1,0.0129,44.7083,-57.5021,190.0,234.76,0,0,0,0,['8493'],"['NASCO', 'ICCAT', 'ACAP', 'IWC', 'NAFO', 'NAMMCO']",not_matching_relevant_public_authorization,0,1.0,2.0,1.0,1.0,2.0
5dbfabdfa-a75a-f58e-0882-836422ffe16e,ZHEPUYU21418,CHN,fishing,412420686,2022-12-25 18:56:45+00:00,2023-01-02 00:14:43+00:00,173.3,2.325,669.38,546.45,0.0621,29.897,123.2281,55.0,49.27,0,0,0,0,['8486'],"['ACAP', 'WCPFC', 'APFIC', 'PICES', 'IWC']",not_matching_relevant_public_authorization,0,1.0,2.0,1.0,1.0,2.0
ec9538b38-830a-9923-c628-1b70537d6a7d,JOCKA,USA,fishing,367551860,2022-12-27 01:27:52+00:00,2023-01-01 18:05:46+00:00,136.63,2.667,648.31,3579.46,0.1537,42.8892,-69.8289,41.0,44.51,0,0,0,0,['8456'],"['NAFO', 'ACAP', 'ICCAT', 'NASCO', 'NAMMCO', 'IWC']",not_matching_relevant_public_authorization,0,1.0,2.0,1.0,1.0,2.0
ca0788e5d-d922-4743-43ac-cf6cc561dc22,THE BLACK PEARL,,fishing,984053990,2022-12-27 04:46:28+00:00,2023-01-05 12:13:05+00:00,223.44,2.399,655.58,143.68,0.0288,21.4491,90.1317,49.0,76.6,0,0,0,0,['8481'],"['APFIC', 'ACAP', 'IWC', 'IOTC', 'BOBP-IGO']",not_matching_relevant_public_authorization,0,1.0,2.0,1.0,1.0,2.0
5e7de6912-2e4c-d0f6-2145-9b4f7e151751,65618,,fishing,100704495,2022-12-27 11:25:13+00:00,2023-01-02 18:13:55+00:00,150.81,3.232,839.65,2865.35,0.1002,21.9019,113.7649,12.0,13.85,0,0,0,0,['8486'],"['APFIC', 'IWC', 'ACAP', 'WCPFC']",not_matching_relevant_public_authorization,0,1.0,2.0,1.0,1.0,2.0
bbc3c8098-8b84-152c-657f-df3876446564,YUEYANGJIANG41065,CHN,fishing,412470191,2022-12-27 11:57:13+00:00,2023-01-01 00:53:20+00:00,108.94,3.57,679.86,1664.52,0.0917,21.3752,111.9476,29.0,24.51,0,0,0,0,['8486'],"['ACAP', 'APFIC', 'IWC', 'WCPFC']",not_matching_relevant_public_authorization,0,1.0,2.0,1.0,1.0,2.0
ceac5e3f8-831c-3485-25a4-c4729e7ccec9,SEAFARER,USA,fishing,368254710,2022-12-27 14:41:53+00:00,2023-01-01 04:21:57+00:00,109.67,4.107,643.89,293.29,0.0399,41.1295,-69.3314,55.0,64.59,0,0,0,0,['8456'],"['ICCAT', 'NAMMCO', 'NASCO', 'IWC', 'NAFO', 'ACAP']",not_matching_relevant_public_authorization,0,1.0,2.0,1.0,1.0,2.0
06fb60e83-391b-1997-6a63-5efc9428b0f6,,,fishing,200028526,2022-12-27 20:41:21+00:00,2023-01-01 10:34:35+00:00,109.89,3.415,672.46,1499.76,0.0872,21.3816,111.9798,36.0,31.47,0,0,0,0,['8486'],"['APFIC', 'ACAP', 'IWC', 'WCPFC']",not_matching_relevant_public_authorization,0,1.0,2.0,1.0,1.0,2.0
00e3bfcdd-de86-c933-dbd1-a6c354a40f2c,ST. FRANCIS,USA,fishing,368027410,2022-12-31 09:57:51+00:00,2023-01-01 18:08:18+00:00,32.17,2.672,145.77,548.97,0.2398,28.2037,-96.1111,30.0,25.59,0,0,0,0,['8456'],"['ICCAT', 'ACAP', 'IWC', 'NAMMCO']",not_matching_relevant_public_authorization,0,1.0,2.0,1.0,1.0,2.0
29affba9f-fc0c-b867-1896-78ac8f84a73b,STAR SHRIMPER-13,NGA,fishing,657215600,2022-12-31 09:58:05+00:00,2023-01-01 13:49:08+00:00,27.85,2.395,120.85,286.19,0.2122,5.1452,5.2498,21.0,18.63,0,0,0,0,['8474'],"['NAMMCO', 'ACAP', 'FCWC', 'ICCAT', 'IWC']",not_matching_relevant_public_authorization,0,1.0,2.0,1.0,1.0,2.0
ce0396a0c-cceb-0d84-cf44-2914cc7de397,GUIHEYU33198,CHN,fishing,412502753,2022-12-31 10:00:23+00:00,2023-01-01 00:07:18+00:00,14.12,2.694,67.96,37.68,0.1321,21.4273,108.6119,22.0,1.04,0,0,0,0,['8486'],"['IWC', 'WCPFC', 'APFIC', 'ACAP']",not_matching_relevant_public_authorization,0,1.0,2.0,1.0,1.0,2.0
