speed,lat,lon,is_fishing,shiptype,label
10.3000001907,62.210159301800005,-29.8645858765,1.0,trawlers,1
4.0,61.700565338100006,-29.108163833600003,1.0,trawlers,1
12.6999998093,76.4694519043,22.0174808502,1.0,trawlers,1
3.2999999523000003,14.6454687119,-26.6606216431,1.0,drifting_longlines,1
1.2999999523,47.301399231000005,-124.7257232666,1.0,trollers,1
3.7999999523,53.5298461914,6.1489434242,1.0,unknown,1
9.3999996185,-42.7497673035,-16.0169124603,1.0,drifting_longlines,1
4.5,51.4666404724,2.6722049713,1.0,trawlers,1
2.9000000954000003,-28.5060539246,-123.1711349487,1.0,drifting_longlines,1
1.6000000238,-2.5309484005000003,173.1530914307,1.0,drifting_longlines,1
1.2999999523,22.063911438,-18.8640861511,1.0,drifting_longlines,1
3.0,70.4864654541,18.7425041199,1.0,trawlers,1
3.9000000954,-44.8606758118,174.58666992189998,1.0,trawlers,1
1.2000000477,-28.1929073334,-122.7105178833,1.0,drifting_longlines,1
5.900000095399999,-20.9039802551,166.7310333252,1.0,drifting_longlines,1
1.1000000238,-1.9276416302,171.4903259277,1.0,drifting_longlines,1
4.5999999046,60.9081993103,-2.1646215916,1.0,trawlers,1
1.3999999762,-12.741999626199998,-115.70866394040002,1.0,drifting_longlines,1
9.6999998093,-2.2341299057,-142.5563659668,1.0,drifting_longlines,1
2.9000000954000003,61.7500801086,-30.3458003998,1.0,trawlers,1
9.6999998093,23.6167831421,-16.1339664459,1.0,trawlers,1
7.900000095399999,44.0745811462,-2.4318349361,1.0,fixed_gear,1
3.2000000477,-19.1019763947,164.053817749,1.0,drifting_longlines,1
5.8000001907000005,-6.670899867999999,-28.9081001282,1.0,drifting_longlines,1
3.7000000477,38.1875228882,-27.1734027863,1.0,unknown,1
3.0,-43.296672821,-0.0852833316,1.0,drifting_longlines,1
2.7000000477,38.2432403564,-28.263473510700003,1.0,unknown,1
0.8999999762,-28.5268325806,-123.0609970093,1.0,drifting_longlines,1
7.400000095399999,-41.3099479675,-52.672592163100006,1.0,unknown,1
0.6000000238000001,-27.679441452,-133.5690002441,1.0,drifting_longlines,1
2.7000000477,38.3248786926,-27.3784809113,1.0,unknown,1
2.4000000954,72.5457305908,6.8782148361,1.0,trawlers,1
3.5999999046,-2.2878000736,-142.0601806641,1.0,drifting_longlines,1
3.7999999523,60.9531745911,2.796066761,1.0,trawlers,1
11.6000003815,1.102001667,3.5033400059,1.0,purse_seines,1
3.2000000477,-2.5147283077,-179.03596496580002,1.0,drifting_longlines,1
0.1000000015,37.7367134094,-25.6696624756,0.33333334,unknown,1
10.8000001907,-38.2707328796,36.3557510376,1.0,drifting_longlines,1
7.8000001907,-37.8576660156,36.108165741,1.0,drifting_longlines,1
2.5999999046,51.1088485718,-7.3671164513,1.0,unknown,1
10.0,-34.861000061,25.2278327942,1.0,drifting_longlines,1
1.2999999523,43.5860671997,-7.018885135700001,1.0,fixed_gear,1
5.6999998093,49.9439506531,-2.4186983109,1.0,fixed_gear,1
3.9000000954,70.4360580444,18.5302524567,1.0,trawlers,1
9.3999996185,-1.7010699511,-138.4492797852,1.0,drifting_longlines,1
3.5999999046,-14.058170318599998,-124.2574234009,1.0,unknown,1
3.9000000954,73.84535980220001,20.1933307648,1.0,trawlers,1
2.2000000477,33.0231819153,-17.0777740479,1.0,unknown,1
5.0999999046,15.9331665039,-28.8233337402,1.0,drifting_longlines,1
10.1999998093,-13.9341669083,-115.8323364258,1.0,drifting_longlines,1
5.5,43.6459960938,13.7383565903,1.0,unknown,1
2.7000000477,53.4186325073,5.2925667763,1.0,trawlers,1
8.3000001907,4.6136665344,-145.6083374023,1.0,drifting_longlines,1
7.1999998093,49.600116729700005,-3.4284117222000003,1.0,fixed_gear,1
0.400000006,1.9845182896,-143.32096862790002,1.0,drifting_longlines,1
3.9000000954,42.5938148499,15.2018499374,0.6666667,trawlers,1
3.7999999523,-10.0918331146,-113.7603302002,1.0,drifting_longlines,1
6.3000001907000005,-42.2126655579,-1.3791667223,1.0,drifting_longlines,1
5.400000095399999,-5.738313198099999,165.193649292,1.0,drifting_longlines,1
0.8999999762,-10.8362865448,163.4803619385,1.0,drifting_longlines,1
2.5999999046,36.5550689697,13.5498418808,1.0,unknown,1
3.5999999046,62.4240531921,-30.1498203278,1.0,trawlers,1
0.8999999762,39.9226989746,-9.8004283905,1.0,unknown,1
2.2999999523,55.6418418884,-163.9518890381,1.0,drifting_longlines,1
2.5,-6.2180099487,156.6542358398,1.0,drifting_longlines,1
1.3999999762,75.6106491089,39.4973144531,1.0,unknown,1
6.0,-42.0101661682,-0.7926666737000001,1.0,drifting_longlines,1
6.599999904600001,-5.989111900299999,157.1951904297,1.0,drifting_longlines,1
1.5,-25.0272254944,36.0088996887,1.0,drifting_longlines,1
2.4000000954,-38.1356773376,-80.5983047485,1.0,trawlers,1
0.8000000119,-21.604637146,-96.8755187988,1.0,unknown,1
5.400000095399999,-13.476764679,160.20640563959998,1.0,drifting_longlines,1
2.9000000954000003,3.9833416939,-154.3464355469,1.0,drifting_longlines,1
2.7999999523000003,-35.0614929199,73.1778259277,1.0,drifting_longlines,1
6.6999998093,-15.9858312607,6.1081666946,1.0,drifting_longlines,1
9.1999998093,62.2934532166,-30.6669063568,1.0,trawlers,1
2.5999999046,57.9478797913,-166.2128601074,1.0,drifting_longlines,1
0.0,-22.267080307,166.42404174799998,0.33333334,drifting_longlines,1
3.4000000954000003,50.0925674438,-2.2655367851,1.0,fixed_gear,1
5.900000095399999,11.9258337021,-31.342832565300004,1.0,drifting_longlines,1
11.0,62.0271186829,-31.193359375,1.0,trawlers,1
9.5,37.4119758606,12.2986917496,1.0,unknown,1
9.6999998093,-17.337106704700002,8.107108116100001,1.0,drifting_longlines,1
4.0,71.6858139038,25.9723529816,1.0,trawlers,1
3.4000000954000003,1.7421300411000002,178.6525268555,1.0,drifting_longlines,1
4.8000001907,-6.3452448845000005,156.6785430908,1.0,drifting_longlines,1
10.6000003815,41.0497245789,-8.7543497086,1.0,unknown,1
4.5,42.4853515625,15.3982887268,1.0,unknown,1
0.6999999881,9.7735700607,-76.6103973389,1.0,drifting_longlines,1
3.4000000954000003,-38.203918457,36.2852172852,1.0,drifting_longlines,1
2.9000000954000003,44.091632843,13.0306930542,1.0,trawlers,1
0.8000000119,-22.9155139923,163.2448120117,1.0,drifting_longlines,1
6.900000095399999,1.4905333519,170.2993927002,1.0,drifting_longlines,1
4.4000000954,-1.5550866127,-139.3644866943,1.0,drifting_longlines,1
4.8000001907,14.4013996124,-27.8715991974,1.0,drifting_longlines,1
5.5,-16.100725174,6.0426249504,1.0,drifting_longlines,1
8.1000003815,43.6428871155,13.4842348099,1.0,unknown,1
3.2999999523000003,43.9932670593,-8.5449466705,1.0,trawlers,1
9.1000003815,-44.6738510132,-0.2315833271,1.0,drifting_longlines,1
1.2999999523,21.805500030500003,-18.8468341827,1.0,drifting_longlines,1
5.599999904600001,38.4326324463,-54.2424201965,1.0,drifting_longlines,1
5.8000001907000005,3.1733534336,150.69718933110002,1.0,drifting_longlines,1
3.7999999523,-2.6658117771,171.3876037598,1.0,drifting_longlines,1
3.0999999046,43.736782074,-7.1334481239,1.0,trawlers,1
9.1999998093,33.3290748596,-16.2311878204,0.33333334,pole_and_line,1
10.1999998093,-9.4681863785,11.9445104599,1.0,drifting_longlines,1
3.5999999046,43.7288475037,-8.7371664047,1.0,trawlers,1
2.2000000477,-37.792301178,35.5076828003,1.0,drifting_longlines,1
3.7000000477,41.110874176,-8.8298387527,1.0,fixed_gear,1
5.0,43.7107849121,13.6173019409,1.0,unknown,1
4.1999998093,69.9126968384,17.1774234772,1.0,trawlers,1
5.1999998093,-9.9038267136,-19.825750351,1.0,drifting_longlines,1
9.3999996185,-6.3450999260000005,-120.9985046387,1.0,unknown,1
0.0,43.6155281067,13.502530098,0.25,trawlers,1
3.5999999046,21.875,-18.6513328552,1.0,drifting_longlines,1
2.5999999046,36.6463317871,11.5591945648,1.0,trawlers,1
1.5,58.232299804700006,-2.9728467464,0.6666667,trawlers,1
1.6000000238,36.9419174194,-168.6019592285,1.0,drifting_longlines,1
4.0,70.9835739136,17.1335926056,1.0,trawlers,1
4.1999998093,61.064094543500005,2.4156866074,1.0,trawlers,1
4.0,73.69050598140001,19.4724235535,1.0,trawlers,1
3.7000000477,6.1635131836,-23.0963764191,1.0,drifting_longlines,1
6.6999998093,69.4959564209,16.7544345856,1.0,trawlers,1
0.400000006,55.2497787476,14.5634670258,1.0,fixed_gear,1
3.4000000954000003,-14.1793584824,157.9007720947,1.0,drifting_longlines,1
3.0,-20.8171977997,-96.7751083374,1.0,unknown,1
2.5999999046,-37.6369018555,35.2283821106,1.0,drifting_longlines,1
3.0999999046,72.4636001587,6.4442667961,1.0,trawlers,1
3.5,-37.8238487244,35.4924850464,1.0,drifting_longlines,1
7.3000001907,-20.4868755341,162.86363220209998,1.0,drifting_longlines,1
3.5999999046,-22.7444667816,-23.7748966217,1.0,drifting_longlines,1
4.0,72.3016967773,9.1421117783,1.0,trawlers,1
4.5,44.9864082336,13.2654037476,1.0,unknown,1
1.2000000477,-10.0705003738,-113.8218383789,1.0,drifting_longlines,1
7.699999809299999,-28.0528259277,-127.5066833496,1.0,drifting_longlines,1
